API,Requests_per_Hour,Requests_per_Minute,Request_Interval_sec,Recommended_Threads
API-1345,41737.0,695.6166666666667,0.08625440256846444,24
API-1985,1221.0,20.35,2.9484029484029484,1
API-1296,24478.0,407.96666666666664,0.1470708391208432,14
API-1986,610.0,10.166666666666666,5.901639344262295,1
API-1694,4221.0,70.35,0.8528784648187633,3
API-1168,2023.0,33.71666666666667,1.7795353435491843,2
API-1688,538.0,8.966666666666667,6.691449814126394,1
API-1488,641.0,10.683333333333334,5.616224648985959,1
API-1167,294.0,4.9,12.244897959183673,1
API-1984,769.0,12.816666666666666,4.681404421326398,1
API-1364,130.0,2.1666666666666665,27.692307692307693,1
API-1584,145.0,2.4166666666666665,24.82758620689655,1
API-1852,249.0,4.15,14.457831325301205,1
API-1978,111.0,1.85,32.432432432432435,1
API-1306,103.0,1.7166666666666666,34.95145631067961,1
API-1585,107.0,1.7833333333333334,33.64485981308411,1
API-1492,130.0,2.1666666666666665,27.692307692307693,1
API-1807,65.0,1.0833333333333333,55.38461538461539,1
API-1689,62.0,1.0333333333333334,58.064516129032256,1
API-1495,70.0,1.1666666666666667,51.42857142857143,1
API-1731,1461.0,24.35,2.4640657084188913,1
API-1988,141.0,2.35,25.53191489361702,1
API-1715,183.0,3.05,19.672131147540984,1
API-1712,550.0,9.166666666666666,6.545454545454546,1
API-1878,7.0,0.11666666666666667,514.2857142857143,1
API-1772,18.0,0.3,200.0,1
API-1774,25.0,0.4166666666666667,144.0,1
API-1363,49.0,0.8166666666666667,73.46938775510205,1
API-1713,81.0,1.35,44.44444444444444,1
API-1714,95.0,1.5833333333333333,37.89473684210526,1
API-1784,1.0,0.016666666666666666,3600.0,1
API-1958,1.0,0.016666666666666666,3600.0,1
API-1523,6.0,0.1,600.0,1
API-1876,1.0,0.016666666666666666,3600.0,1
API-1873,2.0,0.03333333333333333,1800.0,1
API-1861,1.0,0.016666666666666666,3600.0,1
API-1803,2.0,0.03333333333333333,1800.0,1
API-1805,1.0,0.016666666666666666,3600.0,1
API-1894,3.0,0.05,1200.0,1
API-1565,7.0,0.11666666666666667,514.2857142857143,1
API-1785,4.0,0.06666666666666667,900.0,1
API-1897,10.0,0.16666666666666666,360.0,1
API-1954,5.0,0.08333333333333333,720.0,1
API-1907,2.0,0.03333333333333333,1800.0,1
API-1938,2.0,0.03333333333333333,1800.0,1
API-1862,6.0,0.1,600.0,1
API-1885,32.0,0.5333333333333333,112.5,1
API-1965,10.0,0.16666666666666666,360.0,1
API-1896,12.0,0.2,300.0,1
API-1786,26.0,0.43333333333333335,138.46153846153845,1
API-1171,841.0,14.016666666666667,4.280618311533888,1
API-2089,10.0,0.16666666666666666,360.0,1
API-1730,6.0,0.1,600.0,1
API-1685,1267.0,21.116666666666667,2.841357537490134,1
API-1767,7.0,0.11666666666666667,514.2857142857143,1
API-1442,51.0,0.85,70.58823529411765,1
API-1561,128.0,2.1333333333333333,28.125,1
API-1444,347.0,5.783333333333333,10.37463976945245,1
API-1974,147.0,2.45,24.489795918367346,1
API-1591,83.0,1.3833333333333333,43.373493975903614,1
API-1590,166.0,2.7666666666666666,21.686746987951807,1
API-1557,377.0,6.283333333333333,9.549071618037136,1
API-1686,646.0,10.766666666666667,5.572755417956657,1
API-1980,3050.0,50.833333333333336,1.180327868852459,2
API-1684,1266.0,21.1,2.843601895734597,1
